Timestamp,Temperature
2025-02-19 11:15:55,10.33
2025-02-19 12:00:33,10.17
2025-02-19 13:01:28,9.61
2025-02-19 14:02:11,10.05
2025-02-19 15:00:52,9.93
2025-02-19 16:00:31,9.97
2025-02-19 17:01:10,9.21
2025-02-19 18:00:48,9.29
2025-02-19 19:00:27,8.89
2025-02-19 20:01:09,9.17
2025-02-19 21:00:46,8.05
2025-02-19 22:00:23,8.81
2025-02-19 23:01:02,8.37
2025-02-20 00:00:50,8.17
2025-02-20 01:00:38,8.09
2025-02-20 02:01:05,8.29
2025-02-20 03:00:54,7.69
2025-02-20 04:00:31,7.01
2025-02-20 05:01:08,7.69
2025-02-20 06:01:02,7.45
2025-02-20 07:00:58,7.53
2025-02-20 08:00:48,7.85
2025-02-20 09:00:45,9.01
2025-02-20 10:00:26,9.61
2025-02-20 11:01:23,14.49
2025-02-20 12:01:08,19.17
2025-02-20 13:00:48,25.25
2025-02-20 14:00:29,19.09
2025-02-20 15:01:08,16.69
2025-02-20 16:00:47,14.09
2025-02-20 17:00:38,13.61
2025-02-20 18:01:21,12.93
2025-02-20 19:00:59,12.05
2025-02-20 20:00:49,11.81
2025-02-20 21:00:31,10.77
2025-02-20 22:01:09,10.05
2025-02-20 23:00:56,10.05
2025-02-21 00:00:50,8.09
2025-02-21 01:00:33,7.69
2025-02-21 02:00:30,7.61
2025-02-21 03:01:07,6.65
2025-02-21 04:00:46,5.69
2025-02-21 05:00:43,5.69
2025-02-21 06:00:19,4.85
2025-02-21 07:01:02,4.29
2025-02-21 08:01:00,5.57
2025-02-21 09:00:58,5.81
2025-02-21 10:00:51,8.01
2025-02-21 11:00:46,14.05
2025-02-21 11:03:58,14.29
2025-02-21 12:01:15,18.81
2025-02-21 13:01:24,24.93
2025-02-21 14:01:39,29.69
2025-02-21 15:01:41,26.13
